x_f,y_f,z_f,x,y,z,time_ms
178.71,770.23,571.5,197,789,583,0
170.94,753.77,565.97,188,790,584,8.53578463558766
160.84,745.37,564.21,110,761,567,17.0715692711753
152.56,747.45,566.54,110,761,567,25.607353906763
149.25,756.99,571.01,198,770,571,34.1431385423506
149.65,767.73,574.6,198,770,571,42.6789231779383
148.09,773,574.94,198,770,571,51.2147078135259
145.73,771.12,572.15,193,792,583,59.7504924491136
165.7,763.64,568.56,193,794,584,68.2862770847013
187.68,768.18,567.24,193,794,584,76.8220617202889
202.92,777.94,569.69,117,760,564,85.3578463558766
203.51,786.87,574.73,105,736,562,93.8936309914642
187.5,787.98,57.21,105,736,562,102.429415627052
162.44,778.65,579.83,207,764,572,110.96520026264
138.94,762.62,575.76,101,744,56,119.500984898227
124.89,747.42,569.16,101,744,58,128.036769533815
124.37,740.12,563.73,204,794,584,136.572554169403
131.17,741.96,562.35,123,768,569,145.10833880499
138.66,750.27,564.76,123,768,569,153.644123440578
141.51,760.25,568.74,98,745,563,162.179908076165
139.8,767.38,571.87,184,766,568,170.715692711753
136.34,768.92,572.61,126,751,565,179.251477347341
133.74,765.05,570.96,100,744,565,187.787261982928
132.13,758.02,567.95,100,744,565,196.323046618516
129.26,751.29,565.03,179,778,577,204.858831254104
126.39,748.26,563.46,137,764,567,213.394615889691
123.86,749.41,563.59,98,741,569,221.930400525279
123.07,752.52,565.14,185,765,565,230.466185160867
129.23,756.45,566.8,210,780,577,239.001969796454
140.82,759.28,568.22,94,738,559,247.537754432042
154.11,760.01,568.84,94,738,559,256.07353906763
157.77,757.68,568.46,94,772,571,264.609323703217
149.23,754.37,566.8,209,788,582,273.145108338805
133.19,752.93,564.77,89,746,566,281.680892974393
120.34,754.9,563.77,89,746,566,290.21667760998
115.83,758.42,564.68,170,779,583,298.752462245568
117.45,760.42,566.85,207,779,583,307.288246881156
123.51,760.64,569.05,207,779,583,315.824031516743
135.05,761.05,571.08,151,766,564,324.359816152331
154.35,764.18,573.1,218,803,597,332.895600787919
177.83,770.53,575.06,218,803,597,341.431385423506
195.04,778.46,577.33,151,774,566,349.967170059094
201.86,785.87,579.93,147,745,564,358.502954694682
196.06,788.79,582.72,147,745,564,367.038739330269
184.11,784.64,583.95,242,780,568,375.574523965857
173.4,773.69,581.43,164,741,565,384.110308601445
167.78,760.17,574.92,87,741,565,392.646093237032
168.62,750.76,566.96,221,799,590,401.18187787262
169.65,748.26,562.22,173,783,568,409.717662508207
169.28,753.25,562.46,173,783,568,418.253447143795
166.55,762.81,566.59,92,753,564,426.789231779383
164.57,772.88,570.86,209,771,571,435.32501641497
164.21,778.36,572.67,178,762,570,443.860801050558
163.59,776.53,571.62,108,752,565,452.396585686146
162.29,769.36,568.94,108,752,565,460.932370321733
157.6,761.09,566.67,139,764,573,469.468154957321
149.28,756.3,565.78,159,772,571,478.003939592909
138.22,755.49,566,104,742,562,486.539724228496
128.32,756.31,566.7,149,748,563,495.075508864084
127.32,757.26,567.09,149,762,568,503.611293499672
132.96,756.36,567.2,93,746,564,512.147078135259
138.61,753.93,566.43,93,746,564,520.682862770847
133.38,749.88,564.8,93,746,574,529.218647406435
121.35,747.23,562.94,218,797,584,537.754432042022
112.2,747.93,562.66,91,742,559,546.29021667761
112.82,752.23,564.78,91,742,559,554.826001313198
119.27,756.62,568.07,136,743,573,563.361785948785
122.69,756.93,570.08,219,776,573,571.897570584373
125.04,753.56,569.27,219,776,573,580.433355219961
132.11,750.02,566.79,93,752,572,588.969139855548
148.64,750.93,565.17,214,795,580,597.504924491136
168.19,757.49,566.08,214,795,580,606.040709126724
181.44,767.56,569,183,778,577,614.576493762311
187.56,777.7,572.54,119,734,561,623.112278397899
186.59,782.32,575.48,119,734,561,631.648063033487
180.24,778.34,576.61,211,772,572,640.183847669074
168.77,766.45,575.05,189,770,576,648.719632304662
156.83,753.35,570.81,111,752,576,657.255416940249
152.84,747.33,566.21,204,788,581,665.791201575837
157.58,750.94,564.67,192,780,578,674.326986211425
167.88,760.72,567.25,192,780,578,682.862770847012
174.55,769.72,572.36,111,755,562,691.3985554826
177.08,774.59,576.61,206,777,573,699.934340118188
177.71,775.31,577.82,189,780,576,708.470124753775
177.43,773.63,576.1,106,760,563,717.005909389363
173.62,770.77,573.19,106,760,563,725.541694024951
163.85,767.89,570.47,198,790,575,734.077478660538
152.27,766.85,568.43,200,785,575,742.613263296126
146.73,768.91,567.27,116,754,562,751.149047931714
150.37,772.57,567.02,107,739,564,759.684832567301
158.22,774.1,567.33,107,739,576,768.220617202889
157.33,769.16,567.86,119,753,565,776.756401838477
142.89,758.29,567.87,119,753,565,785.292186474064
120.1,746.52,567.39,119,753,567,793.827971109652
106.13,741.15,566.43,214,778,580,802.36375574524
109.88,744.25,565.84,126,750,566,810.899540380827
125.43,751.4,566.12,126,750,566,819.435325016415
140.86,756.69,567.09,191,771,571,827.971109652003
149.39,758.05,568.19,191,771,571,836.50689428759
154.83,757.79,568.78,191,771,571,845.042678923178
161.46,758.75,568.76,123,764,564,853.578463558766
170.15,761.9,568.31,174,774,573,862.114248194353
176.29,765.84,567.87,174,774,573,870.650032829941
176.02,769,567.95,128,761,566,879.185817465529
170.53,770.53,568.34,94,746,563,887.721602101116
159.41,769.01,568.82,94,746,563,896.257386736704
143.24,763.96,568.76,173,769,567,904.793171372292
127.16,757.57,567.87,208,783,564,913.328956007879
118.99,753.54,566.01,92,743,564,921.864740643467
124.82,754.24,563.87,170,760,569,930.400525279054
138.84,757.67,562.42,210,781,576,938.936309914642
154.07,761.25,562.11,210,781,576,947.47209455023
165.09,763.46,563.42,104,740,560,956.007879185818
172.38,764.64,565.88,167,765,570,964.543663821405
