"acc_y";"acc_z";"time_ms";"acc_x"
407;474;45;-758
407;474;50;-799
407;474;54;-761
377;439;59;-761
398;478;64;-761
398;478;68;-771
398;478;73;-782
398;478;78;-782
410;480;82;-782
410;480;87;-782
358;440;92;-773
409;498;97;-758
409;498;101;-758
409;498;106;-776
403;478;111;-776
385;440;116;-777
385;440;120;-777
385;440;125;-754
385;440;130;-754
391;472;135;-754
409;478;140;-754
409;478;144;-790
393;452;149;-783
393;452;154;-795
397;483;159;-795
397;483;163;-795
413;493;168;-597
413;493;173;-1025
413;493;178;-1025
367;437;183;-1025
367;437;188;-1025
369;458;193;-884
273;392;197;-715
273;392;202;-715
273;392;207;-776
464;489;212;-776
353;448;216;-734
353;448;221;-734
353;448;226;-675
353;448;231;-675
349;414;236;-675
455;497;240;-675
455;429;245;-888
292;429;250;-903
292;429;255;-810
239;349;260;-810
239;349;264;-810
420;506;269;-710
420;506;274;-717
420;506;279;-717
437;500;283;-717
437;500;288;-717
411;472;293;-740
415;479;298;-788
415;479;303;-788
415;479;307;-823
389;458;312;-823
326;434;317;-787
326;434;322;-787
326;434;327;-749
326;434;331;-749
391;469;336;-749
441;483;341;-744
441;495;346;-744
432;495;350;-756
432;495;355;-777
418;484;360;-777
418;484;365;-777
394;454;370;-794
394;454;374;-760
394;454;379;-760
365;447;384;-760
365;447;389;-760
395;472;394;-763
406;463;398;-771
406;463;403;-771
406;463;408;-759
396;471;413;-759
415;487;417;-774
415;487;422;-774
415;487;427;-783
415;487;432;-783
401;463;437;-783
382;454;441;-765
382;481;446;-765
395;481;451;-775
395;481;456;-787
398;459;461;-787
398;459;465;-787
385;453;470;-772
385;453;475;-757
385;453;480;-757
402;482;484;-757
402;482;489;-757
408;467;494;-778
393;455;499;-763
393;455;504;-763
393;455;508;-755
407;482;513;-755
416;477;518;-787
416;477;523;-787
416;477;528;-777
416;477;532;-777
382;450;537;-777
398;477;542;-759
398;483;547;-759
411;483;551;-768
411;483;556;-767
393;450;561;-767
393;450;566;-767
401;476;571;-755
401;476;575;-764
401;476;580;-764
416;483;585;-764
416;483;590;-764
405;463;595;-773
395;475;599;-757
395;475;604;-757
395;475;609;-768
407;481;614;-768
401;469;618;-780
401;469;623;-780
401;469;628;-755
401;469;633;-755
393;480;638;-755
411;485;642;-767
411;473;647;-767
405;473;652;-784
405;473;657;-760
388;451;662;-760
388;451;666;-769
412;476;671;-769
412;476;676;-769
412;476;681;-769
408;469;685;-782
408;469;690;-782
387;446;695;-777
415;485;700;-760
415;485;705;-760
410;472;709;-782
410;472;714;-782
410;472;719;-782
410;472;724;-777
388;449;729;-777
388;449;733;-761
389;473;738;-761
407;478;743;-782
384;449;748;-782
384;449;752;-779
384;449;757;-756
384;449;762;-756
389;474;767;-756
389;474;772;-756
409;477;776;-781
409;477;781;-781
392;450;786;-780
392;473;791;-780
390;473;796;-758
413;484;800;-774
413;484;805;-774
413;484;810;-777
413;484;815;-777
390;448;819;-777
390;448;824;-756
387;465;829;-756
387;465;834;-759
410;485;839;-759
390;449;843;-783
384;469;848;-758
384;469;853;-758
384;469;858;-758
384;469;863;-762
406;484;867;-779
406;484;872;-779
407;478;877;-779
407;478;882;-761
383;463;887;-761
414;483;891;-761
414;483;896;-761
414;483;901;-777
412;483;906;-777
389;464;910;-758
389;464;915;-758
389;464;920;-764
409;483;925;-764
412;477;930;-774
412;477;934;-774
412;477;939;-774
396;451;944;-758
396;481;949;-758
409;481;954;-755
